호남선 하행 (From Yongsan to Gwangju·Mokpo),,,,,,,,,,,,,,,,,,,,,,,,호남선 상행 (From Gwangju·Mokpo to Yongsan),,,,,,,,,,,,,,,,,,,,,,
열차번호,편성,행신,서울,용산,광명,수서,동탄,평택지제,천안아산,오송,공주,서대전,계룡,논산,익산,김제,정읍,장성,광주송정,나주,목포,비고,,열차번호,편성,목포,나주,광주송정,장성,정읍,김제,익산,논산,계룡,서대전,공주,오송,천안아산,평택지제,동탄,수서,광명,용산,서울,행신,비고
,,幸信,首尔,龍山,光明,水西,東灘,平澤芝制,天安牙山,五松,公州,西大田,鷄龍,論山,益山,金堤,井邑,長城,光州松汀,羅州,木浦,,,,,木浦,羅州,光州松汀,長城,井邑,金堤,益山,論山,鷄龍,西大田,公州,五松,天安牙山,平澤芝制,東灘,水西,光明,龍山,首尔,幸信,
,,Haengsin,Seoul,Yongsan,Gwangmyeong,Suseo,Dongtan,PyeongtaekJije,Cheonan-Asan,Osong,Gongju,Seodaejeon ,Gyeryong,Nonsan,Iksan,Gimje,Jeongeup,Jangseong,Gwangju songjeong,Naju,Mokpo,,,,,Mokpo,Naju,Gwangju songjeong,Jangseong,Jeongeup,Gimje,Iksan,Nonsan,Gyeryong,Seodaejeon ,Gongju,Osong,Cheonan-Asan,PyeongtaekJije,Dongtan,Suseo,Gwangmyeong,Yongsan,Seoul,Haengsin,
401,KTX_산천,,,5:08,5:25,,,,,5:55,6:12,,,,6:32,,6:49,,7:09,,7:41,매일,,4862,KTX_산천,,,5:12,,5:31,,5:50,,,,,6:21,6:35,,6:53,7:10,,,,,토일
403,KTX_산천,,,5:48,6:05,,,,6:28,6:40,,,,,7:11,,7:28,,7:48,7:58,8:25,매일,,402,KTX,,,5:37,,5:56,,6:14,,,,,6:46,7:00,,,,7:26,7:42,,,매일
405,KTX,6:00,6:22,6:29,6:46,,,,,7:16,7:33,,,,7:53,,8:10,,8:30,8:40,9:06,매일,,474,KTX_산천,,,5:52,,,,6:25,6:50,7:08,7:24,,,7:49,,,,8:15,8:35,,8:57,매일
471,KTX-산천,,,6:10,6:27,,,,6:50,7:02,,7:21,7:37,7:55,8:18,,,,,,,매일,,404,KTX-산천,5:23,5:50,6:01,,6:20,,6:45,,,,7:05,7:24,,,,,7:57,8:16,8:26,8:43,매일
473,KTX,,6:44,6:53,7:11,,,,7:33,7:46,,8:03,,,,,,,,,,매일,,472,KTX,5:32,6:00,6:10,6:25,6:43,6:58,7:12,7:36,7:54,8:11,,8:30,8:43,,,,9:09,9:27,9:32,,매일
4863,KTX_산천,,,,,7:40,,8:02,,,,,,,8:47,,,,9:16,,,토일,,406,KTX,7:03,7:30,7:41,,8:00,,8:18,,,,8:38,8:56,,,,,9:30,9:46,,,매일
441,KTX-산천,,,7:38,7:55,,,,,8:25,,,,,8:55,,,,9:25,,,월화수목토일,,476,KTX-산천,,,,,,,9:05,9:30,9:48,10:04,,10:23,,,,,,11:07,,,매일
451,KTX,,,7:38,7:55,,,,,8:25,,,,,8:55,,,,9:25,,,금,,408,KTX_산천,8:10,8:37,8:48,,9:07,,9:32,,,,,10:03,10:17,,,,10:43,11:05,,11:27,매일
407,KTX-산천,7:18,7:39,7:47,8:05,,,,,,8:47,,,,9:07,,9:24,,9:44,9:54,10:20,매일,,410,KTX_산천,9:06,9:33,9:44,,,,10:22,,,,,,,,,,11:20,11:36,,,매일
409,KTX,,,8:20,,,,,8:55,9:07,,,,,9:38,,9:55,,10:15,10:25,10:51,매일,,412,KTX,9:48,10:15,10:26,,10:45,,11:04,,,,,,,,,,12:02,12:23,12:28,,매일
411,KTX,,,9:19,9:36,,,,,10:06,,,,,10:36,,,,11:05,,,매일,,442,KTX-산천,,,11:05,,,,11:36,,,,,12:07,,,,,12:41,12:57,,,월화수목토일
475,KTX-산천,,,9:44,10:02,,,,10:25,,,10:52,11:07,11:25,11:52,12:04,12:20,12:38,12:52,13:03,13:31,매일,,9442,KTX_산천,,,11:05,,,,11:36,,,,,12:07,,,,,12:41,12:57,,,토일
413,KTX,,10:32,10:40,,,,,11:15,11:27,,,,,11:58,,12:15,,12:35,12:45,13:11,매일,,452,KTX,,,11:05,,,,11:36,,,,,12:07,,,,,12:41,12:57,,,금
415,KTX-산천,11:47,12:08,12:18,12:35,,,,12:58,,13:23,,,,13:43,,,,14:14,14:24,14:50,매일,,414,KTX-산천,10:43,11:10,11:21,,,,11:58,,,,12:18,,12:44,,,,13:10,13:28,13:33,,매일
417,KTX_산천,12:17,,12:45,,,,,,13:27,13:44,,,,14:04,,14:21,,14:41,,15:13,매일,,416,KTX,,,11:34,,11:53,,12:12,,,,,12:43,12:57,,,,13:23,13:40,,,매일
419,KTX-산천,,,13:30,13:47,,,,14:10,,,,,,14:48,,15:05,,15:25,15:35,16:01,매일,,418,KTX,12:44,13:11,13:22,,13:41,,13:59,,,,14:19,14:37,,,,,15:11,15:31,15:36,,매일
9419,KTX-산천,,,13:30,13:47,,,,14:10,,,,,,14:48,,15:05,,15:25,15:35,16:01,월화수목,,420,KTX,13:43,14:11,14:21,,14:41,,15:00,,,,15:19,15:38,,,,,16:10,16:26,,,매일
421,KTX,,,14:48,15:05,,,,15:28,15:40,,,,,16:11,,16:28,,16:48,,17:20,매일,,422,KTX-산천,14:19,14:46,14:57,,15:16,,15:41,,,,16:01,,,,,,16:47,17:05,17:10,,매일
4041,KTX_산천,,,14:38,14:56,,,,15:18,15:31,,15:49,16:05,16:23,16:48,,17:05,,17:26,17:36,18:03,금토일,,4042,KTX-산천,15:19,15:46,15:57,,,,16:28,,,,,,,,,,17:26,17:42,,,월화수목
423,KTX,,,15:33,15:50,,,,,16:20,16:37,,,,16:57,,17:15,,17:35,17:45,18:11,매일,,424,KTX_산천,15:50,16:17,16:28,,16:47,,17:11,,,,17:31,,17:57,,,,,18:43,,19:05,매일
425,KTX-청룡,,,16:08,,,,,,,,,,,17:15,,,,17:44,,,월화수목,,482,KTX-산천,16:25,,16:59,17:14,17:32,17:47,18:07,18:32,18:50,19:07,,19:26,,,,,19:59,20:17,20:27,20:44,월화수목
